Cranberries (dried),1/4 cup,,123.00,0.04,0.50,0.00,0.00,0.00,1.00,33.00,2.30,26.00,0.00,0.00,0.00,0.00,1.00,1.05,39.79,2930.85,377.67,0.22
Grapes (dried),1/4 cup or 1 small box,,129.00,0.04,0.20,0.00,0.00,0.00,5.00,34.10,1.60,25.50,1.30,0.00,1.00,2.00,4.00,0.92,24.50,43.56,13.91,0.22
Raisins,1/4 cup or 1 small box,,129.00,0.04,0.20,0.00,0.00,0.00,5.00,34.10,1.60,25.50,1.30,0.00,1.00,2.00,4.00,0.92,24.50,43.56,13.91,0.22
Kiwis (dried),4 pieces,,101.00,0.03,0.00,0.00,0.00,0.00,73.00,24.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.74,17.28,54.97,6.21,0.16
Mangoes (dried),4 pieces,,120.00,0.04,0.00,0.00,0.00,0.00,0.00,28.00,2.00,20.00,2.00,80.00,10.00,2.00,10.00,1.00,23.46,74.61,8.43,0.21
Peaches (dried),1/4 cup,,50.00,0.06,0.16,0.02,0.00,0.00,1.00,12.70,1.70,10.96,0.75,2.50,4.00,0.50,4.75,1.70,64.16,4726.00,377.67,0.36
Pears (dried),1/4 cup,,81.00,0.06,0.20,0.00,0.00,0.00,2.00,21.55,4.10,17.47,0.58,0.50,4.25,1.00,3.50,1.69,63.66,4689.36,377.67,0.36
Pineapples (dried),1/3 cup,,140.00,0.04,0.00,0.00,0.00,0.00,20.00,35.00,2.00,30.00,0.00,0.00,0.00,2.00,2.00,1.05,0.28,7.18,1.38,0.22
Plums (dried),4 pieces,,104.50,0.04,0.18,0.05,0.00,0.00,0.75,27.75,3.00,16.50,0.95,6.75,0.25,1.75,2.00,1.15,42.25,116.68,33.03,0.24
Prunes,4 pieces,,104.50,0.04,0.18,0.05,0.00,0.00,0.75,27.75,3.00,16.50,0.95,6.75,0.25,1.75,2.00,1.15,42.25,116.68,33.03,0.24
Raspberries (dried),1/4 cup,,100.00,0.03,0.00,0.00,0.00,0.00,6.00,24.00,5.00,17.00,1.00,0.00,12.00,2.00,2.00,0.74,27.85,2051.60,377.67,0.16
Strawberries (dried),1/4 cup,,120.00,0.03,0.00,0.00,0.00,0.00,0.00,30.00,2.00,25.00,1.00,0.00,0.00,2.00,2.00,0.74,27.85,2051.60,377.67,0.16
Apple juice,1 cup,,113.00,0.25,0.30,0.10,0.00,0.00,10.00,28.00,0.50,24.00,0.20,0.00,3.00,2.00,1.00,1.76,64.96,122.22,31.23,0.25
Orange juice,1 cup,,111.00,0.25,0.50,0.10,0.00,0.00,2.00,26.00,0.50,21.00,1.70,9.00,206.00,2.00,2.00,11.00,37.80,143.10,20.90,0.20
Lemon juice,1 cup,,54.00,0.24,0.60,0.10,0.00,0.00,2.00,16.80,0.70,6.20,0.90,0.00,165.00,4.43,6.20,10.50,19.10,212.90,12.20,0.20
Lime juice,1 cup,,60.00,0.24,0.20,0.00,0.00,0.00,5.00,20.40,1.00,4.10,1.00,2.00,96.00,6.00,6.00,10.50,19.10,212.90,12.20,0.20
Grapefruit juice,1 cup,,96.00,0.25,0.20,0.00,0.00,0.00,2.00,23.00,0.20,22.50,1.20,21.00,156.00,2.00,2.00,11.00,23.70,95.10,15.50,0.20
